pubchem	IC50	DrugName	DrugID
36462	-1.2198	Etoposide	134
3463933	0.56208	FH535	173
11493598	3.832	FR-180204	263
3005532	1.1367	FTI-277	166
16722836	0.49833	Fedratinib	306
42642645	-1.2725	Foretinib	308
5311510	1.613	GNF-2	52
46885626	0.43383	GSK1070916	226
25124816	1.3827	GSK1904529A	202
16095342	0.35074	GSK269962A	127
11626927	3.0676	GSK319347A	91
11373846	3.4721	GSK429286A	230
25022668	1.0119	GSK650394	177
16725726	3.2864	GSK690693	326
11617559	4.5004	GW-2580	193
9943465	1.2426	GW441756	1023
9826308	-4.9006	GW843682X	87
123631	-0.05346	Gefitinib	1010
60750	-5.9903	Gemcitabine	135
53302361	-1.0384	HG6-64-1	159
46943432	2.0537	I-BET-762	275
54685215	-0.78038	IOX2	1230
521106	1.704	IPA-3	176
11625818	3.0467	Idelalisib	238
5291	2.0495	Imatinib	34
6450816	-4.6156	Ispinesib Mesylate	208
11624601	3.4725	JNK Inhibitor VIII	1043
25222038	-1.4101	JNK-9L	157
46907787	-1.898	JQ1	163
49836027	-4.1814	JW-7-52-1	83
56965967	1.9164	KIN001-244	287
10451420	3.9071	KIN001-260	290
44143370	2.2663	KIN001-266	291
66577006	3.7318	KIN001-270	345
5278396	2.5527	KU-55933	1030
54676905	3.6673	LFM-A13	192
208908	1.6257	Lapatinib	119
216326	2.9855	Lenalidomide	1020
126565	-2.4969	Lestaurtinib	1024
11485656	1.6449	Linifanib	277
11640390	0.50445	Linsitinib	185
10096043	-4.7212	Luminespib	194
462382	-2.0053	MG-132	9
46930998	-0.13691	MK-2206	1053
25195352	1.8522	MPS-1-IN-1	294
10074640	2.263	Masitinib	292
126941	-2.4743	Methotrexate	1008
5746	-2.9647	Mitomycin-C	136
11667893	1.7167	Motesanib	1029
53340664	1.0297	NG-25	260
42640	1.8796	NSC-207895	269
5459322	3.9149	NSC-87877	147
11327430	1.0699	NU7441	1038
16747388	1.1748	NVP-BHG712	295
16038120	-1.1256	NVP-TAE684	35
24978538	0.37896	Navitoclax	1011
644241	1.6795	Nilotinib	1013
11433190	2.8063	Nutlin-3a (-)	1047
44224160	-2.2484	OSI-027	299
9868037	2.7919	OSI-930	298
10027278	0.47889	OSU-03012	167
11404337	-3.1448	Obatoclax Mesylate	182
23725625	2.2434	Olaparib	1017
25167777	-5.2594	Omipalisib	283
6753378	0.29904	PAC-1	175
9826528	-2.7331	PD0325901	1060
1401	1.3686	PD173074	1049
51371303	2.6236	PF-4708671	1129
11713159	0.49307	PF-562271	158
71271629	1.2307	PFI-1	1219
10461815	1.9064	PHA-665752	6
46191454	-0.37616	PHA-793887	301
9884685	-2.302	PI-103	302
6852167	1.1468	PIK-93	303
24180719	2.7717	PLX-4720	1036
36314	-5.6772	Paclitaxel	11
5330286	-0.42572	Palbociclib	1054
7251185	1.2425	Parthenolide	89
10113978	1.6529	Pazopanib	199
6445562	-0.47851	Pelitinib	282
16720766	-1.8842	Pevonedistat	1529
8249	5.2789	Phenformin	196
17755052	-0.76788	Pictilisib	1058
637858	0.65044	Piperlongumine	1243
24826799	-1.3235	Ponatinib	155
4993	1.5774	Pyrimethamine	71
4263900	1.3074	QS11	151
24889392	1.3162	Quizartinib	254
44450571	2.0677	RO-3306	1052
5384616	-3.6395	Rapamycin	3
44182295	-0.30417	Refametinib	1014
9931953	2.1082	Rucaparib	1175
25126798	3.2715	Ruxolitinib	206
76044	-0.71324	S-Trityl-L-cysteine	41
176158	3.2994	SB216763	1025
9858940	3.0777	SB505124	1194
9967941	2.7263	SB52334	304
11316960	2.5695	SB590885	1061
56962337	1.0076	SGC0946	1264
10459196	3.5531	SL0101	1039
104842	-6.559	SN-38	1494
24772860	-3.6872	SNX-2112	328
704473	3.3769	STF-62247	258
5717801	2.056	Salubrinal	111
10302451	0.96253	Saracatinib	38
160355	2.6035	Seliciclib	110
5113032	4.6025	Selisistat	341
10127622	1.2062	Selumetinib	1062
11178236	-6.0265	Sepantronium bromide	268
11609586	1.5335	Serdemetan	1133
5208	-1.4095	Shikonin	170
216239	0.61159	Sorafenib	30
5329102	0.50064	Sunitinib	5
447912	3.2298	T0901317	333
9952773	2.5463	TAK-715	221
9907093	2.5805	TGX221	94
9903786	0.988	TPCA-1	305
11455910	-1.9388	TW 37	1149
44819241	-0.082745	Talazoparib	1259
2733526	2.7296	Tamoxifen	1199
6505803	-3.2679	Tanespimycin	1026
5394	4.6302	Temozolomide	1375
6918289	-3.8947	Temsirolimus	1016
446378	-6.1632	Thapsigargin	180
159324	-0.31364	Tipifarnib	204
9911830	-0.39743	Tivozanib	312
5494449	-0.59242	Tozasertib	32
11707110	-2.1451	Trametinib	1372
444795	2.5611	Tretinoin	1009
53394750	3.8933	Tubastatin A	265
46224516	1.3874	UNC0638	245
57339144	1.6932	UNC1215	1262
24894414	2.9403	VNLG/124	271
11634725	1.0031	VX-11e	262
10341154	1.9488	VX-702	1028
11960529	3.0134	Veliparib	1018
6710780	-5.9201	Vinblastine	1004
5311497	-5.9536	Vinorelbine	140
24776445	3.2741	Vismodegib	1033
5311	-0.54854	Vorinostat	1012
11844351	0.88193	WH-4-023	56
3796	2.6822	WHI-P97	288
49821040	2.6003	WZ-1-84	59
10384072	0.63688	Wee1 Inhibitor	1046
2726824	2.2288	XAV939	1268
46844147	1.207	XMD8-85	106
46843772	1.7833	XMD8-92	1164
9810884	4.0613	Y-39983	309
44632017	0.030235	YK-4-279	1239
9956222	0.58406	YM201636	310
16760646	-0.60881	Z-LLNle-CHO	45
9914412	0.56209	ZM447439	1050
11647372	-1.0205	ZSTK474	223
9910224	4.8219	Zibotentan	266
